case,cacheState,query,mode,sample,contig,limit,hits,truncated,requests,dependencyRounds,bytes,cacheHits,pagesAvoidedByLimit,integrityMs,decompressionMs,decodeMs,wallMs,maxRssKiB,firstMatchedName,firstStableId
exact-symbol,cold,BRCA1,exact,,,50,1,false,2,2,68729,0,0,6.176811999999995,4.255262999999992,5.644826000000002,17.094390999999998,212828,BRCA1,ENSG00000012048.28
exact-symbol,warm,BRCA1,exact,,,50,1,false,0,0,0,1,0,0,0,1.481107999999999,1.593035999999998,212828,BRCA1,ENSG00000012048.28
exact-stable-id,cold,ENSG00000012048.28,exact,,,50,1,false,2,2,68987,0,0,2.3072779999999966,1.6726399999999941,3.5491969999999995,11.697723000000003,212828,ENSG00000012048.28,ENSG00000012048.28
exact-stable-id,warm,ENSG00000012048.28,exact,,,50,1,false,0,0,0,1,0,0,0,1.3658590000000004,1.4370529999999988,212828,ENSG00000012048.28,ENSG00000012048.28
alias-unavailable-in-corpus,cold,RNF53,exact,,,50,0,false,2,2,67995,0,0,2.3854559999999907,1.7281599999999955,3.1681860000000057,7.578768000000004,212828,,
alias-unavailable-in-corpus,warm,RNF53,exact,,,50,0,false,0,0,0,1,0,0,0,1.0746799999999865,1.144915999999995,212828,,
short-prefix,cold,BRCA,prefix,,,50,3,false,2,2,68729,0,0,2.0150500000000022,1.2892109999999946,3.2151159999999948,7.201076999999998,212828,BRCA1,ENSG00000012048.28
short-prefix,warm,BRCA,prefix,,,50,3,false,0,0,0,1,0,0,0,0.9046549999999911,0.9926240000000064,212828,BRCA1,ENSG00000012048.28
broad-prefix-limit,cold,E,prefix,,,1,1,true,5,2,92480,0,446,3.1768730000000005,5.345881999999989,5.291358999999986,14.521811,212828,E2F1,ENSG00000101412.15
broad-prefix-limit,warm,E,prefix,,,1,1,true,0,0,0,4,446,0,0,3.5786289999999923,3.985607999999999,212828,E2F1,ENSG00000101412.15
missing-symbol,cold,NOT_A_GENCODE_V50_GENE,exact,,,50,0,false,2,2,69129,0,0,1.8253619999999984,1.2278239999999983,2.7131149999999877,6.412549000000013,212828,,
missing-symbol,warm,NOT_A_GENCODE_V50_GENE,exact,,,50,0,false,0,0,0,1,0,0,0,1.4525189999999952,1.512406999999996,212828,,
filtered-sample,cold,BRCA1,exact,GRCh38,,50,1,false,2,2,68729,0,0,1.4145319999999941,1.195771999999991,2.9190499999999844,6.108944000000008,212828,BRCA1,ENSG00000012048.28
filtered-sample,warm,BRCA1,exact,GRCh38,,50,1,false,0,0,0,1,0,0,0,0.747996999999998,0.8040889999999905,212828,BRCA1,ENSG00000012048.28
filtered-contig,cold,BRCA1,exact,,chr17,50,1,false,2,2,68729,0,0,2.5527870000000092,1.0985940000000056,2.3387600000000077,6.267520000000005,212828,BRCA1,ENSG00000012048.28
filtered-contig,warm,BRCA1,exact,,chr17,50,1,false,0,0,0,1,0,0,0,0.7445450000000022,0.805373000000003,212828,BRCA1,ENSG00000012048.28
