core_start,core_end,group_index,occurrence_weight,unique_path_count,delta_varint,interval_run,dense_bitset,roaring_blocks,complement,adaptive_codec,adaptive_bytes
28868608,28884992,0,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,1,7,7,23,31,13125,33,,delta-varint,24
28868608,28884992,2,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,3,2,2,8,11,13125,13,,delta-varint,9
28868608,28884992,4,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,5,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,6,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,7,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,8,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,9,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,10,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,11,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,12,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,13,3,3,11,15,13125,17,,delta-varint,12
28868608,28884992,14,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,15,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,16,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,17,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,18,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,19,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,20,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,21,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,22,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,23,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,24,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,25,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,26,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,27,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,28,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,29,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,30,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,31,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,32,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,33,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,34,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,35,1,1,5,7,13125,9,,delta-varint,6
28868608,28884992,36,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,37,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,38,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,39,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,40,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,41,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,42,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,43,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,44,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,45,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,46,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,47,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,48,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,49,1,1,7,9,13125,9,,delta-varint,8
28868608,28884992,50,1,1,7,9,13125,9,,delta-varint,8
