storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,94.397000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,42.714000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,49.444000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,44.535000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,53.169000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,78.389000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,41.516000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,43.692000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,51.535000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,29.989000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,444.530000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,641.866000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,253.827000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,175.142000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,738.809000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,709.406000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,337.290000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,5339.016000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,718.948000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,1529.102000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,13332.042000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00001,random-100000,MHC-GRCh38,MHC,2031962,2131962,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,2479.798000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00002,random-100000,MHC-GRCh38,MHC,1080439,1180439,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,6142.542000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00003,random-100000,MHC-GRCh38,MHC,864953,964953,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,4020.832000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00004,random-100000,MHC-GRCh38,MHC,4129708,4229708,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,85959.940000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00005,random-100000,MHC-GRCh38,MHC,4502173,4602173,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,16393.786000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00006,random-100000,MHC-GRCh38,MHC,434533,534533,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,4059.828000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00007,random-100000,MHC-GRCh38,MHC,1813450,1913450,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,6455.698000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00008,random-100000,MHC-GRCh38,MHC,898253,998253,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,2454.071000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00009,random-100000,MHC-GRCh38,MHC,4231710,4331710,100000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,15511.709000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,994225,1994225,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,149108.901000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00001,random-1000000,MHC-GRCh38,MHC,3053916,4053916,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,185052.319000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00002,random-1000000,MHC-GRCh38,MHC,3662178,4662178,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,446316.807000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00003,random-1000000,MHC-GRCh38,MHC,1664410,2664410,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,86196.266000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00004,random-1000000,MHC-GRCh38,MHC,3882446,4882446,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,412536.852000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00005,random-1000000,MHC-GRCh38,MHC,3946668,4946668,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,396993.540000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00006,random-1000000,MHC-GRCh38,MHC,2514903,3514903,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,205118.028000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00007,random-1000000,MHC-GRCh38,MHC,1441302,2441302,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,74087.519000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00008,random-1000000,MHC-GRCh38,MHC,3577106,4577106,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,426142.486000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00009,random-1000000,MHC-GRCh38,MHC,3789056,4789056,1000000,100,,1,,1,4511832,4511832,0,,,,,4511832,,,,,,,,,441617.552000,,,,true,140.815520,411.946560,1305.155200
gbz-base,gbz-base-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,,,,,,,,,,,,,,,,,,,,463.037000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,,,,,,,,,,,,,,,,,,,,167.424000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,,,,,,,,,,,,,,,,,,,,190.683000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,,,,,,,,,,,,,,,,,,,,184.850000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,,,,,,,,,,,,,,,,,,,,203.580000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,,,,,,,,,,,,,,,,,,,,285.019000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,,,,,,,,,,,,,,,,,,,,180.955000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,,,,,,,,,,,,,,,,,,,,165.708000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,,,,,,,,,,,,,,,,,,,,179.397000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,,,,,,,,,,,,,,,,,,,,123.640000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,,,,,,,,,,,,,,,,,,,,1342.463000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,,,,,,,,,,,,,,,,,,,,2015.868000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,,,,,,,,,,,,,,,,,,,,816.730000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,,,,,,,,,,,,,,,,,,,,537.113000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,,,,,,,,,,,,,,,,,,,,2370.112000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,,,,,,,,,,,,,,,,,,,,2247.811000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,,,,,,,,,,,,,,,,,,,,1047.213000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,,,,,,,,,,,,,,,,,,,,15379.885000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,,,,,,,,,,,,,,,,,,,,2144.576000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,,,,,,,,,,,,,,,,,,,,4907.903000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,,,,,,,,,,,,,,,,,,,,37955.607000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00001,random-100000,MHC-GRCh38,MHC,2031962,2131962,100000,100,,,,,,,,,,,,,,,,,,,,,6760.241000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00002,random-100000,MHC-GRCh38,MHC,1080439,1180439,100000,100,,,,,,,,,,,,,,,,,,,,,17361.968000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00003,random-100000,MHC-GRCh38,MHC,864953,964953,100000,100,,,,,,,,,,,,,,,,,,,,,11098.360000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00004,random-100000,MHC-GRCh38,MHC,4129708,4229708,100000,100,,,,,,,,,,,,,,,,,,,,,220744.255000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00005,random-100000,MHC-GRCh38,MHC,4502173,4602173,100000,100,,,,,,,,,,,,,,,,,,,,,48564.077000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00006,random-100000,MHC-GRCh38,MHC,434533,534533,100000,100,,,,,,,,,,,,,,,,,,,,,11446.633000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00007,random-100000,MHC-GRCh38,MHC,1813450,1913450,100000,100,,,,,,,,,,,,,,,,,,,,,18732.915000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00008,random-100000,MHC-GRCh38,MHC,898253,998253,100000,100,,,,,,,,,,,,,,,,,,,,,6258.878000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00009,random-100000,MHC-GRCh38,MHC,4231710,4331710,100000,100,,,,,,,,,,,,,,,,,,,,,44870.616000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,994225,1994225,1000000,100,,,,,,,,,,,,,,,,,,,,,363523.942000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00001,random-1000000,MHC-GRCh38,MHC,3053916,4053916,1000000,100,,,,,,,,,,,,,,,,,,,,,469054.131000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00002,random-1000000,MHC-GRCh38,MHC,3662178,4662178,1000000,100,,,,,,,,,,,,,,,,,,,,,1072501.661000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00003,random-1000000,MHC-GRCh38,MHC,1664410,2664410,1000000,100,,,,,,,,,,,,,,,,,,,,,211521.322000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00004,random-1000000,MHC-GRCh38,MHC,3882446,4882446,1000000,100,,,,,,,,,,,,,,,,,,,,,1008066.088000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00005,random-1000000,MHC-GRCh38,MHC,3946668,4946668,1000000,100,,,,,,,,,,,,,,,,,,,,,973643.694000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00006,random-1000000,MHC-GRCh38,MHC,2514903,3514903,1000000,100,,,,,,,,,,,,,,,,,,,,,486786.606000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00007,random-1000000,MHC-GRCh38,MHC,1441302,2441302,1000000,100,,,,,,,,,,,,,,,,,,,,,190400.235000,,,,true,,,
