region,core_start,core_end,distinct_groups,total_occurrence_weight,unique_paths,paths_in_multiple_groups,paths_with_multiplicity_gt_one,disjoint_partition,dominant_group_share
HLA-B,31342592,31358976,252,463,463,0,0,true,0.032397408207343416
HLA-B,31358976,31375360,153,463,463,0,0,true,0.04103671706263499
MICB,31490048,31506432,237,463,463,0,0,true,0.04535637149028078
MICB,31506432,31522816,167,463,463,0,0,true,0.05183585313174946
KIR3DL1,54804480,54820864,142,430,430,0,0,true,0.1813953488372093
KIR3DL1,54820864,54837248,217,1419,465,463,463,false,0.32417195207892885
TERT,1245184,1261568,207,464,464,0,0,true,0.09051724137931035
TERT,1261568,1277952,689,1570,464,235,235,false,0.07643312101910828
TERT,1277952,1294336,459,1759,464,461,461,false,0.09550881182490051
TERT,1294336,1310720,331,464,464,0,0,true,0.028017241379310345
