storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,directory_page_cache_hits,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,haplotype_tiles_checked,haplotype_tiles_correct,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,99.195000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,39.382000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,41.822000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,33.038000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,34.999000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,66.794000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,30.122000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,32.624000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,36.167000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,21.717000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,414.685000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,619.072000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,268.634000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,170.276000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,726.183000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,670.873000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,320.208000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,5186.982000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,653.724000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,1507.794000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,14252.286000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00001,random-100000,MHC-GRCh38,MHC,2031962,2131962,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,2467.343000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00002,random-100000,MHC-GRCh38,MHC,1080439,1180439,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,7209.966000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00003,random-100000,MHC-GRCh38,MHC,864953,964953,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,4365.071000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00004,random-100000,MHC-GRCh38,MHC,4129708,4229708,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,100954.990000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00005,random-100000,MHC-GRCh38,MHC,4502173,4602173,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,16576.651000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00006,random-100000,MHC-GRCh38,MHC,434533,534533,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,3922.807000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00007,random-100000,MHC-GRCh38,MHC,1813450,1913450,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,6780.705000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00008,random-100000,MHC-GRCh38,MHC,898253,998253,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,2740.052000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00009,random-100000,MHC-GRCh38,MHC,4231710,4331710,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,17827.042000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,994225,1994225,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,166642.610000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00001,random-1000000,MHC-GRCh38,MHC,3053916,4053916,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,194318.004000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00002,random-1000000,MHC-GRCh38,MHC,3662178,4662178,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,482584.760000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00003,random-1000000,MHC-GRCh38,MHC,1664410,2664410,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,121631.007000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00004,random-1000000,MHC-GRCh38,MHC,3882446,4882446,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,458375.942000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00005,random-1000000,MHC-GRCh38,MHC,3946668,4946668,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,413997.269000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00006,random-1000000,MHC-GRCh38,MHC,2514903,3514903,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,213867.143000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00007,random-1000000,MHC-GRCh38,MHC,1441302,2441302,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,78832.873000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00008,random-1000000,MHC-GRCh38,MHC,3577106,4577106,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,423808.456000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00009,random-1000000,MHC-GRCh38,MHC,3789056,4789056,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,450506.005000,,,,true,,,140.815520,411.946560,1305.155200
gbz-base,gbz-base-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,,,,,,,,,,,,,,,,,,,,,583.718000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,,,,,,,,,,,,,,,,,,,,,221.561000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,,,,,,,,,,,,,,,,,,,,,219.498000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,,,,,,,,,,,,,,,,,,,,,239.152000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,,,,,,,,,,,,,,,,,,,,,284.792000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,,,,,,,,,,,,,,,,,,,,,437.943000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,,,,,,,,,,,,,,,,,,,,,180.616000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,,,,,,,,,,,,,,,,,,,,,213.836000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,,,,,,,,,,,,,,,,,,,,,284.895000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,,,,,,,,,,,,,,,,,,,,,155.389000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,,,,,,,,,,,,,,,,,,,,,1836.120000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,,,,,,,,,,,,,,,,,,,,,2709.856000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,,,,,,,,,,,,,,,,,,,,,1081.040000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,,,,,,,,,,,,,,,,,,,,,684.548000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,,,,,,,,,,,,,,,,,,,,,3150.733000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,,,,,,,,,,,,,,,,,,,,,2946.544000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,,,,,,,,,,,,,,,,,,,,,1348.056000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,,,,,,,,,,,,,,,,,,,,,20948.798000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,,,,,,,,,,,,,,,,,,,,,2780.742000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,,,,,,,,,,,,,,,,,,,,,6397.541000,,,,true,,,,,
gbz-base,gbz-base-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,,,,,,,,,,,,,,,,,,,,,48378.472000,,,,true,,,,,
