storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,directory_page_cache_hits,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,haplotype_tiles_checked,haplotype_tiles_correct,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,hard-micb,hard-MICB,GRCh38,chr6,31498145,31511124,12979,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,11789.637000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,hard-kir3dl1,hard-KIR3DL1,GRCh38,chr19,54816436,54830779,14343,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,42720.043000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00000,random-1000,GRCh38,chr19,54818630,54819630,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,864.120000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00001,random-1000,CHM13,chr6,31354488,31355488,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,411.568000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00002,random-1000,CHM13,chr19,18939211,18940211,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,5082.608000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00003,random-1000,CHM13,chr19,18930672,18931672,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,499.417000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00004,random-1000,GRCh38,chr6,31509956,31510956,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,179.477000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00005,random-1000,GRCh38,chr6,31505046,31506046,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,684.243000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00006,random-1000,GRCh38,chr19,54823280,54824280,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,535.034000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00007,random-1000,GRCh38,chr6,31503327,31504327,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,742.246000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00008,random-1000,GRCh38,chr19,54826165,54827165,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,4495.119000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00009,random-1000,GRCh38,chr19,54825783,54826783,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,3455.572000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00010,random-1000,GRCh38,chr19,54824197,54825197,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,651.303000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00011,random-1000,GRCh38,chr6,31508687,31509687,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,474.199000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00012,random-1000,GRCh38,chr6,31498578,31499578,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,727.144000,,,,true,,,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00013,random-1000,CHM13,chr19,18934804,18935804,1000,100,,1,,1,73920,73920,0,,,,,,73920,,,,,,,,,852.267000,,,,true,,,22.471200,56.913600,121.712000
