storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,directory_page_cache_hits,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,111.807000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,571.040000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,7028.450000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,495121.093000,,,,true,140.815520,411.946560,1305.155200
gbz-base,gbz-base-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,,,,,,,,,,,,,,,,,,,,,624.517000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,,,,,,,,,,,,,,,,,,,,,,2323.989000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,,,,,,,,,,,,,,,,,,,,,,24603.946000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,,,,,,,,,,,,,,,,,,,,,,1362296.660000,,,,true,,,
fixed-window,fixed-w16k-zstd-3,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,0,3,0,3,35662,35662,0,16384,4269,4096,1,0,15182,1094,4386,32.597806,8.130871,6.383000,82.562000,253.752000,256.513000,603.801000,1,20,7023756c327dfc42cc748fd0c699aba076a4fdd6e782fc68c4f9317650d78d1f,true,62.450987,155.852960,315.509867
fixed-window,fixed-w16k-zstd-3,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,0,2,0,2,26101,26101,0,0,4269,4096,1,0,22005,5725,25000,4.559127,1.044040,10.719000,96.590000,197.388000,412.665000,842.183000,2,136,d658476e5ccf5b1f9b5006b0c236ed05cfcd1258a3424f969e23b3f6c32a0c4a,true,41.696027,104.088080,210.960267
