query_id,query_class,sample,contig,start,end,context,scenario,cache_mode,http_cache_policy,decoder,browser,total_ms,open_ms,query_ms,actual_requests,actual_bytes,actual_unique_bytes,actual_duplicate_bytes,actual_request_rounds,reader_observed_requests,reader_observed_bytes,source_origin_reconciled,planned_requests,planned_bytes,dependency_rounds,bootstrap_cache_hits,directory_cache_hits,payload_cache_hits,decompression_ms,decompression_p50_ms,decompression_p95_ms,integrity_ms,decompression_wall_ms,decompression_task_ms,decode_ms,merge_ms,selected_chunks,selected_nodes,selected_traversals,canonical_hash,expected_canonical_hash,correctness,error
fixed-micb,fixed-biological-micb,GRCh38,chr6,31498145,31511124,100,cold-library,cold,no-store,pure-js,,741.8785869999999,181.735413,560.1431739999999,2,71553,71553,0,,2,71553,true,4,102794,4,1,0,0,19.44573600000001,3.8173830000000635,15.628352999999947,4.51905499999998,15.759045000000015,19.65221900000006,381.26664100000005,18.390998999999965,2,934,404,1a793dc02db16fdab6f00d1ab14cfaf4f79e1a018ba245bc368ea1e20fb91667,1a793dc02db16fdab6f00d1ab14cfaf4f79e1a018ba245bc368ea1e20fb91667,true,
fixed-kir3dl1,fixed-biological-kir3dl1,GRCh38,chr19,54816468,54830778,100,cold-library,cold,no-store,pure-js,,1504.226449,178.16487600000005,1326.061573,2,127912,127912,0,,2,127912,true,4,159153,4,1,0,0,45.70346900000004,20.15979799999991,25.54367100000013,3.6975589999999556,25.573417000000063,45.75425700000005,1097.8073670000003,40.32895800000006,2,2610,359,87f800179595c131080670121ba169cb90658eaec261939abfe2cb0bfc756f1b,87f800179595c131080670121ba169cb90658eaec261939abfe2cb0bfc756f1b,true,
boundary-start,boundary-start,CHM13,chr1,12668,13668,100,cold-library,cold,no-store,pure-js,,331.5152970000004,176.40821700000015,155.10708000000022,2,15314,15314,0,,2,15314,true,4,46555,4,1,0,0,2.0313230000001568,2.0313230000001568,2.0313230000001568,0.31773100000009435,2.044194999999945,2.044194999999945,38.2649550000001,1.5420579999999973,1,139,90,8814bd66174ac1ef176fdc777712eef2189923c13e511c74cc68fb2fbfb796c5,8814bd66174ac1ef176fdc777712eef2189923c13e511c74cc68fb2fbfb796c5,true,
pan-anchor,pan-anchor,CHM13,chr1,60912906,60922906,100,cold-library,cold,no-store,pure-js,,569.7903329999999,178.27036399999997,391.51996899999995,2,56552,56552,0,,2,56552,true,4,87793,4,1,0,0,10.57008599999972,3.2912630000000718,7.278822999999647,1.3990979999998672,7.301473999999871,10.608972999999878,249.50474499999973,4.610004000000117,2,467,569,073fc77fbff79bccc66300a56496fc32d904d4982084c8fa956dc7990578e1ae,073fc77fbff79bccc66300a56496fc32d904d4982084c8fa956dc7990578e1ae,true,
nearby-pan,nearby-pan,CHM13,chr1,60917906,60927906,100,cold-library,cold,no-store,pure-js,,421.0710119999999,173.28029500000002,247.79071699999986,2,28389,28389,0,,2,28389,true,4,59630,4,1,0,0,3.113984999999957,3.113984999999957,3.113984999999957,0.6301610000000437,3.12792300000001,3.12792300000001,114.271479,2.6495049999998628,1,439,274,359410382c604f42cfb208547cd4077611fa14b85fdf984fe086e6cdd5816c60,359410382c604f42cfb208547cd4077611fa14b85fdf984fe086e6cdd5816c60,true,
boundary-end,boundary-end,CHM13,chr1,121822144,121823144,100,cold-library,cold,no-store,pure-js,,304.97653700000046,177.63412900000003,127.34240800000043,2,17802,17802,0,,2,17802,true,4,49043,4,1,0,0,2.5862059999999474,2.5862059999999474,2.5862059999999474,0.40611600000011094,2.60475199999928,2.60475199999928,4.386003999999957,1.075712000000749,1,18,20,bab501e7597ecbf8cfdcf9e5bc9133449b57e706fdca5c6632c588c8c1540c9c,bab501e7597ecbf8cfdcf9e5bc9133449b57e706fdca5c6632c588c8c1540c9c,true,
distant-random,distant-random,GRCh38,chrY,28608707,28618707,100,cold-library,cold,no-store,pure-js,,298.8956380000009,183.69869600000038,115.19694200000049,2,4382,4382,0,,2,4382,true,4,35623,4,1,0,0,0.9937650000001668,0.9937650000001668,0.9937650000001668,0.03337000000010448,1.009345000000394,1.009345000000394,0.10751299999992625,0.1287290000000212,1,11,0,c7c8bde52852053ec63ed71bc3301ed315f297f1ce04ccaa5cb910fac29ecde4,c7c8bde52852053ec63ed71bc3301ed315f297f1ce04ccaa5cb910fac29ecde4,true,
random-1000-00000,random-1000,CHM13,chr2,94715846,94716846,100,cold-library,cold,no-store,pure-js,,4765.224774000001,176.95094400000016,4588.273830000001,2,180102,180102,0,,2,180102,true,4,211343,4,1,0,0,51.7535799999996,19.15440799999942,32.59917200000018,4.365490999999565,32.63137300000017,51.80981999999949,4396.768668999999,16.677213999999367,2,254,1019,0d8602d267b4964c82ef0e60314957481f3d060688ce081d2652d0351b9f6ceb,0d8602d267b4964c82ef0e60314957481f3d060688ce081d2652d0351b9f6ceb,true,
random-1000-00001,random-1000,GRCh38,chrUn_KI270548v1,93,1093,100,cold-library,cold,no-store,pure-js,,281.72353399999884,165.906524,115.81700999999885,2,4675,4675,0,,2,4675,true,4,35916,4,1,0,0,0.11430400000062946,0.11430400000062946,0.11430400000062946,0.033774999999877764,0.11956699999973353,0.11956699999973353,0.045485000000553555,0.11541099999885773,1,2,0,78b1018995ead0ef0edd4a20d3945699e7cf12d3c3176ad0862bdf7addbd370d,78b1018995ead0ef0edd4a20d3945699e7cf12d3c3176ad0862bdf7addbd370d,true,
random-1000-00002,random-1000,CHM13,chr17,23182138,23183138,100,cold-library,cold,no-store,pure-js,,408.0996379999997,176.70932299999913,231.39031500000056,2,25847,25847,0,,2,25847,true,4,57088,4,1,0,0,2.8810450000000856,2.8810450000000856,2.8810450000000856,0.5849020000005112,2.887097000000722,2.887097000000722,111.07841300000109,1.1635519999999815,1,44,152,7baf766c78d46d363ac7e3348bb3035bcb9fe3b916db9d4664ae48f4eaf91af0,7baf766c78d46d363ac7e3348bb3035bcb9fe3b916db9d4664ae48f4eaf91af0,true,
random-1000-00003,random-1000,CHM13,chr16,35378588,35379588,100,cold-library,cold,no-store,pure-js,,613.8992719999987,182.7009539999999,431.19831799999884,2,40880,40880,0,,2,40880,true,4,72121,4,1,0,0,4.902137000000948,4.902137000000948,4.902137000000948,0.9134639999992942,4.908914999999979,4.908914999999979,294.5494089999993,2.084338000000571,1,75,472,c4dbf6aff5252ae1c14c0c9b6e19c17986bce2b79cf1eddab002bdb35ad69957,c4dbf6aff5252ae1c14c0c9b6e19c17986bce2b79cf1eddab002bdb35ad69957,true,
random-1000-00004,random-1000,GRCh38,chr1_KI270707v1_random,30368,31368,100,cold-library,cold,no-store,pure-js,,300.7013530000004,185.75338100000045,114.94797199999994,2,9818,9818,0,,2,9818,true,4,41059,4,1,0,0,0.7329099999988102,0.7329099999988102,0.7329099999988102,0.19270099999994272,0.7396200000002864,0.7396200000002864,0.11492600000019593,0.0655319999987114,1,2,0,699e7176f8e7f615eb65b261b56f271c57c4474bf5d2165f4e6307d927422a2c,699e7176f8e7f615eb65b261b56f271c57c4474bf5d2165f4e6307d927422a2c,true,
random-1000-00005,random-1000,CHM13,chr2,94822968,94823968,100,cold-library,cold,no-store,pure-js,,8063.724645,257.43266100000073,7806.2919839999995,2,402128,402128,0,,2,402128,true,4,433369,4,1,0,0,60.917765999998664,60.917765999998664,60.917765999998664,10.244039999999586,60.92921999999999,60.92921999999999,7480.4128550000005,67.71418500000073,1,4230,277,79ad6c4c0d0a5afae31b442da9450d6548c0d2d66dfc4baad9dcfcd97e0321cf,79ad6c4c0d0a5afae31b442da9450d6548c0d2d66dfc4baad9dcfcd97e0321cf,true,
random-1000-00006,random-1000,GRCh38,chrUn_KI270757v1,38740,39740,100,cold-library,cold,no-store,pure-js,,434.66741600000023,313.2687360000018,121.39867999999842,2,7800,7800,0,,2,7800,true,4,39041,4,1,0,0,1.7268239999975776,1.7268239999975776,1.7268239999975776,0.11731399999916903,1.733713000001444,1.733713000001444,0.11592100000052596,0.05758599999899161,1,2,0,450490f3cc84309b64291895f5c20479736f587b4f3c9e6c9c8c3f6d5d0cdf07,450490f3cc84309b64291895f5c20479736f587b4f3c9e6c9c8c3f6d5d0cdf07,true,
