query_id,query_class,sample,contig,start,end,context,scenario,cache_mode,http_cache_policy,decoder,browser,total_ms,open_ms,query_ms,actual_requests,actual_bytes,actual_unique_bytes,actual_duplicate_bytes,actual_request_rounds,reader_observed_requests,reader_observed_bytes,source_origin_reconciled,planned_requests,planned_bytes,dependency_rounds,bootstrap_cache_hits,directory_cache_hits,payload_cache_hits,decompression_ms,decompression_p50_ms,decompression_p95_ms,integrity_ms,decompression_wall_ms,decompression_task_ms,decode_ms,merge_ms,selected_chunks,selected_nodes,selected_traversals,canonical_hash,expected_canonical_hash,correctness,error
fixed-micb,fixed-biological-micb,GRCh38,chr6,31498145,31511124,100,cold-library,cold,default,wasm,,442.05978900000264,2.9055150000021968,439.15427400000044,2,71553,71553,0,,2,71553,true,4,102794,4,1,0,0,3.070753000003606,0.3940280000024359,2.67672500000117,4.603864000000613,2.776683000000048,3.2237789999999222,403.8389339999994,13.841272000001482,2,934,404,1a793dc02db16fdab6f00d1ab14cfaf4f79e1a018ba245bc368ea1e20fb91667,1a793dc02db16fdab6f00d1ab14cfaf4f79e1a018ba245bc368ea1e20fb91667,true,
fixed-kir3dl1,fixed-biological-kir3dl1,GRCh38,chr19,54816468,54830778,100,cold-library,cold,default,wasm,,957.9789500000006,1.537148999999772,956.4418010000009,2,127912,127912,0,,2,127912,true,4,159153,4,1,0,0,2.332302000002528,1.0076150000022608,1.3246870000002673,3.895340999999462,1.337986999998975,2.355111000000761,908.3928910000031,28.014404999998078,2,2610,359,87f800179595c131080670121ba169cb90658eaec261939abfe2cb0bfc756f1b,87f800179595c131080670121ba169cb90658eaec261939abfe2cb0bfc756f1b,true,
boundary-start,boundary-start,CHM13,chr1,12668,13668,100,cold-library,cold,default,wasm,,62.16890499999499,1.6709019999980228,60.49800299999697,2,15314,15314,0,,2,15314,true,4,46555,4,1,0,0,0.13886899999852176,0.13886899999852176,0.13886899999852176,0.7379189999992377,0.1472280000016326,0.1472280000016326,57.19132399999944,1.100046999999904,1,139,90,8814bd66174ac1ef176fdc777712eef2189923c13e511c74cc68fb2fbfb796c5,8814bd66174ac1ef176fdc777712eef2189923c13e511c74cc68fb2fbfb796c5,true,
pan-anchor,pan-anchor,CHM13,chr1,60912906,60922906,100,cold-library,cold,default,wasm,,244.7726760000005,1.1256790000006731,243.64699699999983,2,56552,56552,0,,2,56552,true,4,87793,4,1,0,0,0.7161099999975704,0.2182089999987511,0.4979009999988193,1.555834999999206,0.5107850000022154,0.7383000000008906,235.19512699999905,3.4276559999998426,2,467,569,073fc77fbff79bccc66300a56496fc32d904d4982084c8fa956dc7990578e1ae,073fc77fbff79bccc66300a56496fc32d904d4982084c8fa956dc7990578e1ae,true,
nearby-pan,nearby-pan,CHM13,chr1,60917906,60927906,100,cold-library,cold,default,wasm,,110.22319800000332,0.999550000000454,109.22364800000287,2,28389,28389,0,,2,28389,true,4,59630,4,1,0,0,0.19338000000061584,0.19338000000061584,0.19338000000061584,0.7269020000021555,0.20106899999882444,0.20106899999882444,94.65609899999981,2.237644000000728,1,439,274,359410382c604f42cfb208547cd4077611fa14b85fdf984fe086e6cdd5816c60,359410382c604f42cfb208547cd4077611fa14b85fdf984fe086e6cdd5816c60,true,
boundary-end,boundary-end,CHM13,chr1,121822144,121823144,100,cold-library,cold,default,wasm,,7.612968999997975,0.9456419999987702,6.667326999999204,2,17802,17802,0,,2,17802,true,4,49043,4,1,0,0,0.1556719999971392,0.1556719999971392,0.1556719999971392,0.4215069999991101,0.16874599999937345,0.16874599999937345,4.356885999997758,1.0934850000012375,1,18,20,bab501e7597ecbf8cfdcf9e5bc9133449b57e706fdca5c6632c588c8c1540c9c,bab501e7597ecbf8cfdcf9e5bc9133449b57e706fdca5c6632c588c8c1540c9c,true,
distant-random,distant-random,GRCh38,chrY,28608707,28618707,100,cold-library,cold,default,wasm,,1.728040999998484,0.7126250000001164,1.0154159999983676,2,4382,4382,0,,2,4382,true,4,35623,4,1,0,0,0.03128400000059628,0.03128400000059628,0.03128400000059628,0.02441799999724026,0.04326099999889266,0.04326099999889266,0.11235300000043935,0.1326970000009169,1,11,0,c7c8bde52852053ec63ed71bc3301ed315f297f1ce04ccaa5cb910fac29ecde4,c7c8bde52852053ec63ed71bc3301ed315f297f1ce04ccaa5cb910fac29ecde4,true,
random-1000-00000,random-1000,CHM13,chr2,94715846,94716846,100,cold-library,cold,default,wasm,,4315.759779999997,0.6880089999976917,4315.071770999999,2,180102,180102,0,,2,180102,true,4,211343,4,1,0,0,2.675639000000956,1.0426619999998366,1.6329770000011194,4.486441000004561,1.6440739999998186,2.695587999998679,4291.5546460000005,15.462137000002258,2,254,1019,0d8602d267b4964c82ef0e60314957481f3d060688ce081d2652d0351b9f6ceb,0d8602d267b4964c82ef0e60314957481f3d060688ce081d2652d0351b9f6ceb,true,
random-1000-00001,random-1000,GRCh38,chrUn_KI270548v1,93,1093,100,cold-library,cold,default,wasm,,1.4881039999963832,0.8604509999968286,0.6276529999995546,2,4675,4675,0,,2,4675,true,4,35916,4,1,0,0,0.059496000001672655,0.059496000001672655,0.059496000001672655,0.029557000001659617,0.06291899999996531,0.06291899999996531,0.04547699999966426,0.08174099999814644,1,2,0,78b1018995ead0ef0edd4a20d3945699e7cf12d3c3176ad0862bdf7addbd370d,78b1018995ead0ef0edd4a20d3945699e7cf12d3c3176ad0862bdf7addbd370d,true,
random-1000-00002,random-1000,CHM13,chr17,23182138,23183138,100,cold-library,cold,default,wasm,,109.94290099999853,0.6524360000003071,109.29046499999822,2,25847,25847,0,,2,25847,true,4,57088,4,1,0,0,0.1665419999990263,0.1665419999990263,0.1665419999990263,0.5923609999990731,0.17042099999889615,0.17042099999889615,106.76303899999766,1.1515159999980824,1,44,152,7baf766c78d46d363ac7e3348bb3035bcb9fe3b916db9d4664ae48f4eaf91af0,7baf766c78d46d363ac7e3348bb3035bcb9fe3b916db9d4664ae48f4eaf91af0,true,
