storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,directory_page_cache_hits,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,haplotype_tiles_checked,haplotype_tiles_correct,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,109.530000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,33.110000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,39.050000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,34.038000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,34.606000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,67.169000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,30.660000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,31.477000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,36.749000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,21.465000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00010,random-1000,MHC-GRCh38,MHC,2263341,2264341,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,56.979000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00011,random-1000,MHC-GRCh38,MHC,2372803,2373803,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,62.446000,,,,true,,,140.815520,411.946560,1305.155200
