storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,directory_page_cache_hits,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,haplotype_tiles_checked,haplotype_tiles_correct,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,111.172000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,33.561000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,39.774000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,32.887000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,34.043000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,67.029000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,30.338000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,35.250000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,36.708000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,21.106000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,416.051000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,607.871000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,247.350000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,160.103000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,744.633000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,674.613000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,314.847000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,4968.307000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,641.058000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,1515.937000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,12739.061000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00001,random-100000,MHC-GRCh38,MHC,2031962,2131962,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,3372.289000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00002,random-100000,MHC-GRCh38,MHC,1080439,1180439,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,5986.315000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00003,random-100000,MHC-GRCh38,MHC,864953,964953,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,3834.534000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00004,random-100000,MHC-GRCh38,MHC,4129708,4229708,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,78811.057000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00005,random-100000,MHC-GRCh38,MHC,4502173,4602173,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,16034.144000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00006,random-100000,MHC-GRCh38,MHC,434533,534533,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,3891.155000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00007,random-100000,MHC-GRCh38,MHC,1813450,1913450,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,6298.136000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00008,random-100000,MHC-GRCh38,MHC,898253,998253,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,2270.365000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00009,random-100000,MHC-GRCh38,MHC,4231710,4331710,100000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,15385.640000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,994225,1994225,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,147018.657000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00001,random-1000000,MHC-GRCh38,MHC,3053916,4053916,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,178453.599000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00002,random-1000000,MHC-GRCh38,MHC,3662178,4662178,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,427294.037000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00003,random-1000000,MHC-GRCh38,MHC,1664410,2664410,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,86587.396000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00004,random-1000000,MHC-GRCh38,MHC,3882446,4882446,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,403879.694000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00005,random-1000000,MHC-GRCh38,MHC,3946668,4946668,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,388972.975000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00006,random-1000000,MHC-GRCh38,MHC,2514903,3514903,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,201743.097000,,,,true,,,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00007,random-1000000,MHC-GRCh38,MHC,1441302,2441302,1000000,100,,1,,1,4511832,4511832,0,,,,,,4511832,,,,,,,,,76277.074000,,,,true,,,140.815520,411.946560,1305.155200
