storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,hard-micb,hard-MICB,GRCh38,chr6,31498145,31511124,12979,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,12403.762000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,hard-kir3dl1,hard-KIR3DL1,GRCh38,chr19,54816436,54830779,14343,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,43717.225000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00000,random-1000,GRCh38,chr19,54818630,54819630,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,873.337000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00001,random-1000,CHM13,chr6,31354488,31355488,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,464.064000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00002,random-1000,CHM13,chr19,18939211,18940211,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,5513.469000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00003,random-1000,CHM13,chr19,18930672,18931672,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,539.880000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00004,random-1000,GRCh38,chr6,31509956,31510956,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,205.495000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00005,random-1000,GRCh38,chr6,31505046,31506046,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,716.555000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00006,random-1000,GRCh38,chr19,54823280,54824280,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,555.823000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00007,random-1000,GRCh38,chr6,31503327,31504327,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,783.660000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00008,random-1000,GRCh38,chr19,54826165,54827165,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,4797.522000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00009,random-1000,GRCh38,chr19,54825783,54826783,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,3821.178000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00010,random-1000,GRCh38,chr19,54824197,54825197,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,646.030000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00011,random-1000,GRCh38,chr6,31508687,31509687,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,483.624000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00012,random-1000,GRCh38,chr6,31498578,31499578,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,831.883000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00013,random-1000,CHM13,chr19,18934804,18935804,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,886.403000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00014,random-1000,GRCh38,chr19,54818543,54819543,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,943.126000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00015,random-1000,GRCh38,chr19,54822995,54823995,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,495.603000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00016,random-1000,GRCh38,chr6,31500086,31501086,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,457.915000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00017,random-1000,CHM13,chr19,18935132,18936132,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,1250.475000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00018,random-1000,GRCh38,chr6,31500755,31501755,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,501.771000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00019,random-1000,CHM13,chr6,31355683,31356683,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,908.860000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00020,random-1000,GRCh38,chr6,31505631,31506631,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,399.180000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00021,random-1000,GRCh38,chr19,54819258,54820258,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,963.871000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00022,random-1000,CHM13,chr6,31362561,31363561,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,337.606000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00023,random-1000,GRCh38,chr19,54818709,54819709,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,803.221000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00024,random-1000,GRCh38,chr6,31509347,31510347,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,361.950000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00025,random-1000,CHM13,chr19,18937374,18938374,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,4393.258000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00026,random-1000,CHM13,chr19,18928542,18929542,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,825.582000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00027,random-1000,CHM13,chr19,18933366,18934366,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,498.168000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00028,random-1000,CHM13,chr6,31362297,31363297,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,375.509000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00029,random-1000,GRCh38,chr6,31506359,31507359,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,315.535000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00030,random-1000,GRCh38,chr19,54827474,54828474,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,4829.816000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00031,random-1000,GRCh38,chr19,54826908,54827908,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,4662.271000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00032,random-1000,GRCh38,chr6,31506225,31507225,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,433.775000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00033,random-1000,GRCh38,chr6,31509336,31510336,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,399.408000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00034,random-1000,GRCh38,chr19,54816603,54817603,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,687.368000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00035,random-1000,CHM13,chr6,31362547,31363547,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,345.890000,,,,true,22.471200,56.913600,121.712000
gbz,gbz-baseline,random-1000-00036,random-1000,CHM13,chr19,18937052,18938052,1000,100,,1,,1,73920,73920,0,,,73920,,,,,,,,,4754.286000,,,,true,22.471200,56.913600,121.712000
