storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
gbz,gbz-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,98.424000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,45.184000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,52.166000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,46.435000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,47.026000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,89.908000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,44.406000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,47.329000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,52.499000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,32.985000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,456.940000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,636.965000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,264.457000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,176.421000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,743.208000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,720.785000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,341.463000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,5418.348000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,757.983000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,1590.383000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,14122.750000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00001,random-100000,MHC-GRCh38,MHC,2031962,2131962,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,2491.763000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00002,random-100000,MHC-GRCh38,MHC,1080439,1180439,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,6420.532000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00003,random-100000,MHC-GRCh38,MHC,864953,964953,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,4153.112000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00004,random-100000,MHC-GRCh38,MHC,4129708,4229708,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,92205.227000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00005,random-100000,MHC-GRCh38,MHC,4502173,4602173,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,18753.679000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00006,random-100000,MHC-GRCh38,MHC,434533,534533,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,4199.113000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00007,random-100000,MHC-GRCh38,MHC,1813450,1913450,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,6660.905000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00008,random-100000,MHC-GRCh38,MHC,898253,998253,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,2507.202000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-100000-00009,random-100000,MHC-GRCh38,MHC,4231710,4331710,100000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,16517.885000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,994225,1994225,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,179307.223000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00001,random-1000000,MHC-GRCh38,MHC,3053916,4053916,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,207915.755000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00002,random-1000000,MHC-GRCh38,MHC,3662178,4662178,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,468414.582000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00003,random-1000000,MHC-GRCh38,MHC,1664410,2664410,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,90052.243000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00004,random-1000000,MHC-GRCh38,MHC,3882446,4882446,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,440358.889000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00005,random-1000000,MHC-GRCh38,MHC,3946668,4946668,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,421574.176000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00006,random-1000000,MHC-GRCh38,MHC,2514903,3514903,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,223801.105000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00007,random-1000000,MHC-GRCh38,MHC,1441302,2441302,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,88036.933000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00008,random-1000000,MHC-GRCh38,MHC,3577106,4577106,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,458616.985000,,,,true,140.815520,411.946560,1305.155200
gbz,gbz-baseline,random-1000000-00009,random-1000000,MHC-GRCh38,MHC,3789056,4789056,1000000,100,,1,,1,4511832,4511832,0,,,4511832,,,,,,,,,453463.426000,,,,true,140.815520,411.946560,1305.155200
gbz-base,gbz-base-baseline,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,,,,,,,,,,,,,,,,,,,494.612000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00001,random-1000,MHC-GRCh38,MHC,4897918,4898918,1000,100,,,,,,,,,,,,,,,,,,,171.319000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00002,random-1000,MHC-GRCh38,MHC,1758423,1759423,1000,100,,,,,,,,,,,,,,,,,,,177.811000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00003,random-1000,MHC-GRCh38,MHC,3202374,3203374,1000,100,,,,,,,,,,,,,,,,,,,185.396000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00004,random-1000,MHC-GRCh38,MHC,1529093,1530093,1000,100,,,,,,,,,,,,,,,,,,,210.510000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00005,random-1000,MHC-GRCh38,MHC,999079,1000079,1000,100,,,,,,,,,,,,,,,,,,,287.015000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00006,random-1000,MHC-GRCh38,MHC,4410732,4411732,1000,100,,,,,,,,,,,,,,,,,,,141.411000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00007,random-1000,MHC-GRCh38,MHC,2388877,2389877,1000,100,,,,,,,,,,,,,,,,,,,167.041000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00008,random-1000,MHC-GRCh38,MHC,844767,845767,1000,100,,,,,,,,,,,,,,,,,,,169.769000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000-00009,random-1000,MHC-GRCh38,MHC,3227097,3228097,1000,100,,,,,,,,,,,,,,,,,,,110.003000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00000,random-10000,MHC-GRCh38,MHC,3078533,3088533,10000,100,,,,,,,,,,,,,,,,,,,1314.534000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00001,random-10000,MHC-GRCh38,MHC,2465757,2475757,10000,100,,,,,,,,,,,,,,,,,,,1992.496000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00002,random-10000,MHC-GRCh38,MHC,3576984,3586984,10000,100,,,,,,,,,,,,,,,,,,,812.197000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00003,random-10000,MHC-GRCh38,MHC,3405920,3415920,10000,100,,,,,,,,,,,,,,,,,,,532.752000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00004,random-10000,MHC-GRCh38,MHC,292664,302664,10000,100,,,,,,,,,,,,,,,,,,,2411.075000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00005,random-10000,MHC-GRCh38,MHC,2389603,2399603,10000,100,,,,,,,,,,,,,,,,,,,2265.859000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00006,random-10000,MHC-GRCh38,MHC,542027,552027,10000,100,,,,,,,,,,,,,,,,,,,1034.768000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00007,random-10000,MHC-GRCh38,MHC,4185669,4195669,10000,100,,,,,,,,,,,,,,,,,,,15755.510000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00008,random-10000,MHC-GRCh38,MHC,878649,888649,10000,100,,,,,,,,,,,,,,,,,,,2131.845000,,,,true,,,
gbz-base,gbz-base-baseline,random-10000-00009,random-10000,MHC-GRCh38,MHC,2541935,2551935,10000,100,,,,,,,,,,,,,,,,,,,4951.369000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00000,random-100000,MHC-GRCh38,MHC,4262931,4362931,100000,100,,,,,,,,,,,,,,,,,,,39025.656000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00001,random-100000,MHC-GRCh38,MHC,2031962,2131962,100000,100,,,,,,,,,,,,,,,,,,,6835.453000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00002,random-100000,MHC-GRCh38,MHC,1080439,1180439,100000,100,,,,,,,,,,,,,,,,,,,18219.401000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00003,random-100000,MHC-GRCh38,MHC,864953,964953,100000,100,,,,,,,,,,,,,,,,,,,11321.614000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00004,random-100000,MHC-GRCh38,MHC,4129708,4229708,100000,100,,,,,,,,,,,,,,,,,,,231433.957000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00005,random-100000,MHC-GRCh38,MHC,4502173,4602173,100000,100,,,,,,,,,,,,,,,,,,,51741.890000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00006,random-100000,MHC-GRCh38,MHC,434533,534533,100000,100,,,,,,,,,,,,,,,,,,,12113.414000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00007,random-100000,MHC-GRCh38,MHC,1813450,1913450,100000,100,,,,,,,,,,,,,,,,,,,19703.045000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00008,random-100000,MHC-GRCh38,MHC,898253,998253,100000,100,,,,,,,,,,,,,,,,,,,6418.051000,,,,true,,,
gbz-base,gbz-base-baseline,random-100000-00009,random-100000,MHC-GRCh38,MHC,4231710,4331710,100000,100,,,,,,,,,,,,,,,,,,,46183.638000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,994225,1994225,1000000,100,,,,,,,,,,,,,,,,,,,387389.595000,,,,true,,,
gbz-base,gbz-base-baseline,random-1000000-00001,random-1000000,MHC-GRCh38,MHC,3053916,4053916,1000000,100,,,,,,,,,,,,,,,,,,,491437.466000,,,,true,,,
